Temperature;Humidity;Moisture;Nitrogen;Potassium;Phosphorous;Soil Type_Clayey;Soil Type_Loamy;Soil Type_Red;Soil Type_Sandy;Crop Type_Cotton;Crop Type_Ground Nuts;Crop Type_Maize;Crop Type_Millets;Crop Type_Oil seeds;Crop Type_Paddy;Crop Type_Pulses;Crop Type_Sugarcane;Crop Type_Tobacco;Crop Type_Wheat;Fertilizer Name_14-35-14;Fertilizer Name_17-17-17;Fertilizer Name_20-20;Fertilizer Name_28-28;Fertilizer Name_DAP;Fertilizer Name_Urea;Crop_Type
34.0;65.0;38.0;39;0.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;Paddy
36.0;68.0;38.0;7;9.0;30;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Cotton
26.0;52.0;48.0;23;0.0;19;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;Wheat
28.0;54.0;35.0;41;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;Millets
30.0;60.0;61.0;8;10.0;31;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Cotton
37.0;70.0;37.0;12;0.0;41;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;Paddy
25.0;50.0;26.0;15;14.0;11;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Ground Nuts
29.0;58.0;34.0;15;0.0;37;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;Millets
27.0;54.0;30.0;13;0.0;13;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;Pulses
30.0;60.0;58.0;10;7.0;32;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;Sugarcane
32.0;62.0;34.0;22;0.0;24;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;Tobacco
34.0;65.0;60.0;35;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Sugarcane
35.0;67.0;42.0;10;0.0;35;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Cotton
38.0;70.0;48.0;8;8.0;28;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;Wheat
26.0;52.0;32.0;12;0.0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;Oil seeds
29.0;58.0;43.0;24;0.0;18;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;Paddy
30.0;60.0;29.0;41;0.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Ground Nuts
33.0;64.0;51.0;5;9.0;29;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;Maize
34.0;65.0;31.0;23;0.0;21;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;Tobacco
36.0;68.0;33.0;13;0.0;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;Oil seeds
28.0;54.0;38.0;40;0.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;Pulses
30.0;60.0;47.0;12;0.0;42;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Cotton
31.0;62.0;63.0;11;12.0;15;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Cotton
27.0;53.0;43.0;23;0.0;24;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;Millets
34.0;65.0;54.0;38;0.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Wheat
29.0;58.0;37.0;8;0.0;15;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;Millets
25.0;50.0;56.0;11;13.0;15;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;Sugarcane
32.0;62.0;34.0;15;0.0;37;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Ground Nuts
28.0;54.0;41.0;36;0.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;Paddy
30.0;60.0;49.0;13;0.0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Wheat
34.0;65.0;64.0;24;0.0;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Cotton
28.0;54.0;47.0;5;16.0;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cotton
27.0;53.0;35.0;37;0.0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;Oil seeds
36.0;68.0;62.0;15;0.0;40;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Cotton
34.0;65.0;57.0;9;0.0;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;Sugarcane
29.0;58.0;55.0;8;8.0;33;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;Sugarcane
25.0;50.0;40.0;6;16.0;16;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Pulses
30.0;60.0;38.0;10;0.0;14;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;Millets
26.0;52.0;39.0;21;0.0;23;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;Pulses
31.0;62.0;32.0;39;0.0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;Tobacco
34.0;65.0;48.0;23;0.0;19;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;Wheat
27.0;53.0;34.0;42;0.0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;Oil seeds
33.0;64.0;31.0;13;0.0;39;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Ground Nuts
29.0;58.0;42.0;9;10.0;22;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;Paddy
30.0;60.0;47.0;22;0.0;21;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;Maize
27.0;53.0;59.0;10;0.0;15;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;Sugarcane
26.0;52.0;36.0;7;16.0;20;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Pulses
34.0;65.0;63.0;14;0.0;38;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Cotton
28.0;54.0;43.0;10;8.0;29;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;Paddy
30.0;60.0;40.0;41;0.0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;Millets
29.0;58.0;65.0;14;0.0;35;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Cotton
26.0;52.0;59.0;11;0.0;9;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;Sugarcane
31.0;62.0;44.0;21;0.0;28;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Cotton
35.0;67.0;28.0;8;7.0;31;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Pulses
29.0;58.0;30.0;13;16.0;16;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Tobacco
27.0;53.0;30.0;35;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;Millets
36.0;68.0;50.0;12;16.0;19;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Wheat
29.0;58.0;61.0;11;0.0;38;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Cotton
30.0;60.0;26.0;8;9.0;30;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;Oil seeds
34.0;65.0;45.0;6;16.0;21;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Paddy
36.0;68.0;41.0;41;0.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Ground Nuts
28.0;54.0;25.0;9;10.0;30;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;Maize
25.0;50.0;32.0;24;0.0;19;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;Pulses
30.0;60.0;27.0;4;16.0;17;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Tobacco
38.0;72.0;51.0;39;0.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Wheat
36.0;60.0;43.0;15;0.0;41;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;Millets
29.0;58.0;57.0;12;0.0;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;Sugarcane
27.58;59.21;31.27;20;2.0;15;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Cotton
27.45;66.38;50.14;9;12.0;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;Millets
27.25;63.62;40.35;28;0.0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Wheat
28.84;58.91;33.06;8;9.0;28;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;Millets
25.86;48.46;46.25;40;2.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Ground Nuts
25.59;63.6;46.33;11;0.0;11;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Cotton
29.17;68.19;30.65;6;4.0;14;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;Oil seeds
36.05;73.59;58.17;9;14.0;11;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;Millets
26.76;64.22;53.63;5;8.0;30;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Ground Nuts
27.66;53.58;40.96;41;0.0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Cotton
28.27;52.88;43.3;40;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Wheat
38.39;69.51;65.09;8;1.0;16;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;Oil seeds
28.74;56.8;54.07;15;0.0;35;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Cotton
30.63;63.88;38.71;19;4.0;28;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;Paddy
34.71;64.94;52.62;9;16.0;21;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;Oil seeds
23.71;51.25;42.9;11;0.0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;Oil seeds
30.63;61.45;23.18;37;2.0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;Maize
23.63;52.62;42.9;12;13.0;13;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;Sugarcane
27.65;58.09;69.07;16;3.0;32;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Oil seeds
31.19;60.94;30.51;12;0.0;36;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;Paddy
37.12;72.87;47.06;45;2.0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;Tobacco
33.52;60.46;47.85;7;15.0;16;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Pulses
29.44;59.34;55.51;10;3.0;31;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;Sugarcane
33.24;69.48;65.48;8;13.0;28;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cotton
20.85;53.18;43.77;2;16.0;19;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;Tobacco
38.42;73.97;50.41;11;1.0;36;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;Sugarcane
23.59;55.82;62.92;39;0.0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Sugarcane
38.56;73.46;30.62;11;0.0;32;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;Pulses
30.87;63.94;46.2;15;0.0;8;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Cotton
25.83;51.1;59.57;38;4.0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;Maize
34.51;63.92;70.0;14;0.0;35;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;Sugarcane
31.92;62.59;27.78;18;0.0;25;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;Pulses
28.43;58.72;43.9;13;16.0;11;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;Sugarcane
27.53;55.04;57.07;4;0.0;14;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;Pulses
24.53;67.4;48.49;8;9.0;18;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Paddy
30.82;51.91;54.23;15;4.0;33;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;Wheat
32.53;59.45;20.16;9;15.0;16;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Cotton
28.17;58.69;34.11;12;8.0;33;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Cotton
29.25;54.52;41.4;35;0.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;Paddy
22.26;51.36;48.36;6;16.0;17;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;Tobacco
30.76;66.64;56.32;41;3.0;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Ground Nuts
27.84;66.53;36.89;7;11.0;20;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Sugarcane
29.21;64.21;54.95;7;11.0;31;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;Wheat
32.98;62.02;33.12;40;0.0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Wheat
24.24;59.04;50.07;38;0.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Cotton
33.54;59.28;52.09;21;3.0;20;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Wheat
34.43;72.28;62.22;35;4.0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Ground Nuts
32.19;68.94;67.37;15;0.0;33;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Cotton
32.55;71.46;67.14;5;7.0;32;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;Oil seeds
28.38;52.02;43.83;13;0.0;38;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Wheat
33.8;52.28;53.31;12;15.0;15;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;Millets
28.38;47.58;34.86;20;0.0;20;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;Paddy
28.37;59.8;35.35;23;2.0;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;Oil seeds
34.95;64.93;62.63;31;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;Wheat
35.56;74.88;52.16;20;0.0;21;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Cotton
23.42;53.65;69.68;11;3.0;14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Cotton
31.68;62.14;42.55;17;0.0;31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;Sugarcane
31.78;44.27;45.07;5;8.0;32;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;Maize
26.39;52.62;22.27;8;1.0;43;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Cotton
29.36;64.39;20.0;13;4.0;39;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Tobacco
26.67;47.94;34.08;13;0.0;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;Sugarcane
26.75;56.87;20.0;12;6.0;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Cotton
30.64;65.77;32.86;24;0.0;17;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;Sugarcane
29.89;48.59;38.0;26;0.0;21;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;Pulses
28.61;62.22;41.53;8;13.0;18;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Ground Nuts
37.09;63.72;47.99;39;2.0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;Sugarcane
21.78;55.6;33.66;37;3.0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Maize
30.42;70.37;55.92;2;5.0;25;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;Wheat
35.39;52.28;42.97;10;16.0;12;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Pulses
30.53;52.17;41.92;3;15.0;15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;Oil seeds
22.95;55.86;31.58;16;3.0;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;Paddy
32.06;75.56;55.73;18;1.0;38;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;Tobacco
38.4;67.88;62.06;11;11.0;16;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;Maize
33.59;66.16;69.67;12;13.0;27;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;Pulses
26.47;62.91;46.87;10;4.0;11;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Ground Nuts
31.56;58.25;42.9;13;16.0;14;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;Oil seeds
29.13;56.72;67.72;8;13.0;32;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Ground Nuts
23.35;59.98;63.83;36;4.0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;Oil seeds
26.75;58.1;39.27;19;0.0;20;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;Maize
30.42;48.76;42.28;41;0.0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;Millets
27.31;57.3;22.41;34;1.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Wheat
27.63;69.25;41.18;19;0.0;26;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;Millets
22.59;45.7;33.13;38;0.0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;Maize
35.97;60.1;42.9;11;2.0;40;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;Tobacco
27.69;55.55;42.9;26;2.0;22;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;Sugarcane
24.27;52.43;62.34;6;1.0;14;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;Millets
30.42;50.01;26.27;9;3.0;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Ground Nuts
31.52;44.64;42.86;13;0.0;35;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Cotton
30.64;57.57;46.45;12;4.0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Wheat
22.17;47.78;43.03;15;0.0;16;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;Paddy
36.5;65.85;42.33;5;10.0;32;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Maize
35.13;65.69;37.76;8;4.0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;Maize
24.82;53.75;47.97;6;14.0;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Ground Nuts
31.24;55.88;37.05;6;0.0;9;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;Oil seeds
29.77;46.18;63.79;5;3.0;14;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cotton
25.86;46.65;32.67;35;0.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;Oil seeds
30.15;60.77;42.93;44;0.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Cotton
29.46;59.4;49.1;10;0.0;12;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Ground Nuts
29.37;64.45;64.66;38;0.0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cotton
23.63;58.75;35.6;19;0.0;18;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;Oil seeds
32.45;60.24;55.92;10;5.0;31;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;Millets
37.34;63.39;25.36;15;4.0;39;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;Paddy
30.41;67.24;65.58;3;8.0;34;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Cotton
31.9;55.45;59.87;12;0.0;37;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Cotton
35.85;52.79;54.13;16;13.0;16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Cotton
